take,file,t_cmd_perf_ns,stand_idx,t_display_perf_ns,offset_ms
0,take000_GX015581.MP4,544750077470200,40537,544750457052700,379.582
1,take001_GX015582.MP4,544761015532200,42454,544761423633100,408.101
2,take002_GX015583.MP4,544771827035100,44368,544772223722300,396.687
3,take003_GX015584.MP4,544782687107700,46281,544783054577800,367.470
4,take004_GX015585.MP4,544793391268500,48148,544793756347500,365.079
5,take005_GX015586.MP4,544804124832200,50040,544804491098800,366.267
6,take006_GX015587.MP4,544814877570200,51919,544815253793100,376.223
7,take007_GX015588.MP4,544825604206200,53803,544825951820500,347.614
8,take008_GX015589.MP4,544836305889400,55684,544836653529800,347.640
9,take009_GX015590.MP4,544847018518700,57540,544847421681600,403.163
10,take010_GX015591.MP4,544858034971600,59194,544858418234200,383.263
11,take011_GX015592.MP4,544868740960900,60854,544869116703700,375.743
12,take012_GX015593.MP4,544879844582800,62564,544880257277200,412.694
13,take013_GX015594.MP4,544890721789800,64356,544891090415200,368.625
14,take014_GX015595.MP4,544901383690600,66088,544901755647200,371.957
15,take015_GX015596.MP4,544912057638800,67940,544912420963700,363.325
16,take016_GX015597.MP4,544922944612100,69621,544923319269100,374.657
17,take017_GX015598.MP4,544934215331700,71361,544934586433600,371.102
18,take018_GX015599.MP4,544944918007800,72937,544945287013600,369.006
19,take019_GX015600.MP4,544956246744500,74702,544956616683000,369.938
20,take020_GX015601.MP4,544967148142500,76520,544967522100900,373.958
21,take021_GX015602.MP4,544978162133600,78317,544978522600700,360.467
22,take022_GX015603.MP4,544988874393900,79991,544989217190900,342.797
23,take023_GX015604.MP4,544999691668800,81690,545000057367300,365.699
24,take024_GX015605.MP4,545010503744200,83571,545010890567400,386.823
25,take025_GX015606.MP4,545021243483800,85474,545021623399000,379.915
26,take026_GX015607.MP4,545032241877400,87073,545032618212300,376.335
27,take027_GX015608.MP4,545043983420400,88826,545044355360700,371.940
28,take028_GX015609.MP4,545054946214000,90705,545055320434100,374.220
29,take029_GX015610.MP4,545065685094500,92362,545066014947400,329.853
