camera_pts_s,stand_display_s
2.0020000000000002,547150.5330209
2.5025,547151.0410758
3.003,547151.5451946
3.5035000000000003,547152.0442949
4.0040000000000004,547152.5470858
4.5045,547153.0438157
5.005,547153.5492953
6.006,547154.5479287
6.5065,547155.0511547
7.007000000000001,547155.5487792
7.5075,547156.0446808
8.008000000000001,547156.5405158
8.5085,547157.0392295
9.009,547157.5345271
9.509500000000001,547158.0380646
10.01,547158.5419295
10.5105,547159.0383527
11.011000000000001,547159.5474867
11.5115,547160.0476737
12.012,547160.5431203
12.512500000000001,547161.0457366
13.013,547161.5429422
13.5135,547162.0486706
14.014000000000001,547162.5384287
14.5145,547163.0498985
15.015,547163.5349862
15.515500000000001,547164.0468292
16.016000000000002,547164.5499261
16.5165,547165.0477124
17.017,547165.5505344
17.517500000000005,547166.0459514
18.018,547166.54596
18.5185,547167.0495342
35.5355,547184.0819236
36.036,547184.5826762
36.536500000000004,547185.0702831
37.037,547185.5661548
37.5375,547186.0699029
38.038000000000004,547186.5755289
38.5385,547187.080656
39.039,547187.5650175
39.539500000000004,547188.0768555
40.04,547188.5681564
40.5405,547189.0762684
41.041000000000004,547189.5826102
41.5415,547190.083903
42.042,547190.5793095
42.542500000000004,547191.0846978
43.043,547191.5839904
43.5435,547192.0836552
44.044000000000004,547192.5840104
44.5445,547193.0807073
45.045,547193.5845106
45.545500000000004,547194.052391
46.046,547194.5826982
46.5465,547195.0841103
47.047000000000004,547195.5839798
47.5475,547196.0843733
48.048,547196.5842605
48.548500000000004,547197.0802634
49.049,547197.5809825
49.5495,547198.0841983
50.5505,547199.0841716
51.551500000000004,547200.0844856
52.052,547200.5823564
70.07000000000002,547218.6175398
71.071,547219.6173142
71.5715,547220.1174069
72.5725,547221.1132388
73.07300000000001,547221.61383
73.57350000000001,547222.1171945
74.074,547222.6172194
74.5745,547223.1173015
75.075,547223.6173199
75.5755,547224.1179301
76.07600000000001,547224.6154585
76.57650000000001,547225.1147748
77.077,547225.6172819
77.5775,547226.117057
78.078,547226.6174053
78.5785,547227.1172926
79.07900000000001,547227.616979
79.57950000000001,547228.1127793
80.08,547228.6129904
80.5805,547229.1181647
81.081,547229.6146411
81.5815,547230.1175068
82.08200000000001,547230.6170306
82.58250000000001,547231.11723
83.5835,547232.1131421
84.084,547232.6128328
85.08500000000001,547233.6173024
85.58550000000001,547234.1172308
105.105,547253.6503579
105.6055,547254.1502638
106.10600000000001,547254.6504306
106.60650000000001,547255.1504545
107.107,547255.6463287
107.6075,547256.1460088
108.108,547256.6449906
108.6085,547257.1464579
109.10900000000001,547257.6511442
109.60950000000001,547258.150397
110.11,547258.650022
110.6105,547259.1453597
111.111,547259.6473872
111.6115,547260.1485029
112.11200000000001,547260.6465076
112.61250000000001,547261.1505139
113.113,547261.6503461
113.6135,547262.1463711
114.114,547262.649286
115.11500000000001,547263.6506924
115.61550000000001,547264.1505429
116.116,547264.6508508
116.6165,547265.1504492
117.117,547265.6459751
117.6175,547266.1497395
118.11800000000001,547266.6484469
119.119,547267.6510024
119.6195,547268.1456888
122.122,547270.6471194
122.6225,547271.1507035
123.123,547271.650817
123.6235,547272.1509017
124.12400000000001,547272.6465044
125.125,547273.648662
125.6255,547274.1503823
126.126,547274.6503033
127.12700000000001,547275.6504643
127.62750000000001,547276.1462993
138.6385,547287.180113
139.6395,547288.1768754
140.14000000000004,547288.6815767
140.6405,547289.1796957
141.14100000000002,547289.6797175
141.6415,547290.1571163
142.142,547290.6754776
142.6425,547291.1801133
143.143,547291.6836739
144.144,547292.6836844
144.6445,547293.178078
145.145,547293.6773083
145.6455,547294.1784517
146.14600000000002,547294.6841591
146.6465,547295.1839006
147.14700000000002,547295.6795187
147.6475,547296.1781781
148.148,547296.678764
148.6485,547297.1802213
149.64950000000002,547298.1835686
150.15,547298.6823892
151.151,547299.6806889
151.6515,547300.1796009
152.6525,547301.1782381
153.15300000000002,547301.6836446
153.6535,547302.1768118
154.154,547302.6787201
154.6545,547303.1818958
155.155,547303.6809399
155.65550000000002,547304.1818181
156.156,547304.6827617
156.6565,547305.178772
157.157,547305.6836769
157.6575,547306.1801026
158.6585,547307.1788086
172.172,547320.7088487
172.6725,547321.2133795
173.173,547321.7122163
173.67350000000002,547322.2175327
174.174,547322.7171573
174.6745,547323.2168845
175.175,547323.7111474
175.6755,547324.2120378
176.17600000000002,547324.7152119
176.6765,547325.2107541
177.17700000000002,547325.7128612
177.6775,547326.2074521
179.179,547327.7110781
179.67950000000002,547328.2134513
180.18,547328.7141931
180.6805,547329.2116284
181.181,547329.713918
181.6815,547330.2075528
182.18200000000002,547330.7116435
182.6825,547331.2152305
183.18300000000002,547331.7156792
183.6835,547332.2121018
184.184,547332.7135261
184.6845,547333.2168082
185.185,547333.7126411
185.68550000000002,547334.2166599
186.186,547334.716811
206.7065,547355.2473388
207.20700000000002,547355.7479165
207.7075,547356.246003
208.208,547356.7452915
208.70850000000002,547357.2468406
209.209,547357.7458427
209.70950000000002,547358.2460913
210.21,547358.7464701
210.7105,547359.2490352
211.211,547359.7450337
211.7115,547360.2508597
212.21200000000002,547360.7464381
212.7125,547361.2455888
213.21300000000002,547361.7452829
213.7135,547362.2488773
214.214,547362.7476803
214.71450000000002,547363.2469004
215.215,547363.7441455
215.71550000000002,547364.2434868
216.216,547364.7477508
216.7165,547365.2465395
217.217,547365.7454127
217.7175,547366.2499576
218.21800000000002,547366.7482979
218.7185,547367.2482361
219.21900000000002,547367.7499714
219.7195,547368.2491913
220.22,547368.7476271
220.72050000000002,547369.2473942
221.221,547369.7479291
273.273,547421.8120243
274.274,547422.8126378
274.7745,547423.3125392
